epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.218,1.95543,3.03421,2.1688,0.32891,0.34352,0.25118,0.08391,2.13132,2.2857,2.22492,0.000555207,0.000555207,0.000555207
2,699.356,2.01723,2.41681,2.22631,0.38444,0.35708,0.30013,0.10533,2.05481,2.2349,2.18445,0.00108396,0.00108396,0.00108396
3,1032.45,1.94764,2.26119,2.14878,0.44207,0.40405,0.37092,0.14188,1.97515,2.15376,2.10314,0.00150899,0.00150899,0.00150899
4,1356.87,1.88787,2.156,2.09258,0.48232,0.39604,0.38284,0.16083,1.91732,2.00244,2.02677,0.00132685,0.00132685,0.00132685
5,1679.64,1.83296,2.00549,2.02766,0.52432,0.44192,0.45361,0.19334,1.88197,1.84723,1.98032,0.00109683,0.00109683,0.00109683
6,2070.71,1.7771,1.9175,1.97282,0.61754,0.50708,0.53371,0.22734,1.82227,1.73782,1.90237,0.000841835,0.000841835,0.000841835
7,2533.56,1.7212,1.81455,1.91905,0.66506,0.54394,0.5798,0.27033,1.73929,1.60207,1.84275,0.000586845,0.000586845,0.000586845
8,2856.89,1.66413,1.72501,1.87627,0.65465,0.52638,0.57823,0.27892,1.68296,1.56786,1.80961,0.000356815,0.000356815,0.000356815
9,3183.66,1.62664,1.6409,1.83543,0.7072,0.56523,0.63047,0.31104,1.65651,1.47282,1.76849,0.000174262,0.000174262,0.000174262
10,3508.86,1.59229,1.59154,1.80698,0.71477,0.5726,0.63442,0.32092,1.63245,1.437,1.75441,5.70564e-05,5.70564e-05,5.70564e-05
