epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,586.452,1.71418,2.71784,1.85801,0.4159,0.30645,0.25857,0.10441,1.96821,2.89019,2.10491,0.00999388,0.00333129,0.00999388,0.00333129,0.00999388,0.00333129,0.00999388,0.00333129
2,1048.5,1.7788,2.28793,1.88865,0.4213,0.31292,0.28745,0.11715,1.99937,2.5303,2.05621,0.019989,0.006663,0.019989,0.006663,0.019989,0.006663,0.019989,0.006663
3,1495,1.85111,2.36869,1.96157,0.39041,0.36026,0.31149,0.11403,1.95095,2.84423,2.07347,0.0299646,0.0099882,0.0299646,0.0099882,0.0299646,0.0099882,0.0299646,0.0099882
4,1937.77,1.86293,2.37249,2.00544,0.40809,0.31339,0.27442,0.10432,1.93172,2.79265,2.10202,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2379.03,1.79939,2.27249,1.95947,0.50218,0.42387,0.41504,0.17754,1.82193,3.3518,1.99558,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2818.82,1.75201,2.18732,1.91756,0.55165,0.4177,0.43846,0.1902,1.7629,2.19781,1.89823,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,3264.01,1.71541,2.10843,1.88861,0.57214,0.45851,0.47369,0.21516,1.7103,2.45338,1.90935,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3718.68,1.68579,2.06926,1.86625,0.61547,0.51129,0.5104,0.22979,1.685,2.95866,1.85497,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,4162.68,1.67998,2.03111,1.84603,0.59331,0.48442,0.51071,0.23841,1.66026,2.28465,1.83534,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,4598.73,1.66338,1.99983,1.84022,0.6073,0.49304,0.5341,0.25177,1.63797,2.18041,1.80528,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,5032.55,1.64794,1.9672,1.82938,0.61895,0.47474,0.50507,0.23624,1.65078,2.23659,1.82164,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,5466.56,1.61743,1.93315,1.80384,0.63858,0.51441,0.56107,0.26361,1.61986,1.94824,1.77372,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,5899.69,1.61645,1.91607,1.80728,0.64697,0.51024,0.56354,0.27163,1.61914,2.06161,1.78231,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,6333.68,1.60822,1.8822,1.80098,0.64252,0.52447,0.57292,0.28168,1.60482,1.93135,1.7807,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,6766.88,1.58751,1.85977,1.78565,0.6756,0.53025,0.58425,0.28946,1.58474,2.04044,1.76112,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,7206.91,1.58442,1.83025,1.77304,0.69947,0.53507,0.596,0.29451,1.58414,1.90629,1.74706,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,7647.85,1.566,1.81779,1.75906,0.68766,0.53075,0.59556,0.29659,1.55865,1.8151,1.74171,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,8093.14,1.56084,1.80405,1.75223,0.70368,0.54085,0.6051,0.30681,1.56458,1.8276,1.73515,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,8539.29,1.56166,1.79154,1.7484,0.70313,0.54187,0.61031,0.30921,1.55662,1.70552,1.72144,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,8980.04,1.55627,1.78036,1.74673,0.73205,0.55111,0.62306,0.3141,1.5617,1.67337,1.71054,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,9431.37,1.54805,1.7675,1.73849,0.70419,0.55244,0.62112,0.32042,1.53301,1.64612,1.70398,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,9882,1.53679,1.74501,1.7294,0.74629,0.54379,0.63097,0.32377,1.53659,1.70841,1.69216,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,10332.6,1.52699,1.72592,1.72369,0.72206,0.56644,0.63496,0.33348,1.50807,1.6615,1.68219,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,10780.1,1.52107,1.72753,1.72515,0.73928,0.55721,0.63743,0.32816,1.516,1.66581,1.68296,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,11232.6,1.5241,1.71633,1.71471,0.73752,0.57416,0.65316,0.3411,1.51063,1.69102,1.66998,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,11675.2,1.5139,1.69494,1.70444,0.72688,0.57595,0.65225,0.33971,1.51919,1.60767,1.6756,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,12118.9,1.50269,1.6811,1.69874,0.76384,0.55859,0.64936,0.34341,1.5065,1.67117,1.66777,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,12561.4,1.49882,1.67298,1.70327,0.75415,0.56661,0.65719,0.34392,1.50441,1.50272,1.66431,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,13004.6,1.50363,1.67727,1.70277,0.73674,0.58255,0.65658,0.34708,1.49214,1.53537,1.65957,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,13448.4,1.49662,1.67097,1.68984,0.75266,0.56928,0.65447,0.34855,1.48139,1.57044,1.63849,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,13892.1,1.49043,1.64642,1.68702,0.75769,0.56379,0.6546,0.35144,1.46584,1.53648,1.63619,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,14337.9,1.48043,1.62662,1.67918,0.75432,0.58408,0.66665,0.35349,1.48568,1.48132,1.65461,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,14787.4,1.47286,1.6224,1.68378,0.76738,0.57858,0.66998,0.35693,1.48023,1.54626,1.64287,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,15233.3,1.47047,1.62271,1.67517,0.76714,0.57988,0.66872,0.35916,1.46832,1.48489,1.63366,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,15677.7,1.46989,1.62376,1.67121,0.77481,0.5845,0.67237,0.36179,1.4577,1.49825,1.62612,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,16122.3,1.46564,1.60133,1.66629,0.77707,0.58376,0.67434,0.36351,1.46009,1.43689,1.62975,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,16567.1,1.45546,1.58815,1.66102,0.78023,0.57676,0.67896,0.36685,1.45705,1.44365,1.62898,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,17010.5,1.45134,1.57369,1.65345,0.77775,0.5826,0.67709,0.36947,1.44652,1.45327,1.61874,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,17456.1,1.45972,1.56518,1.65516,0.7731,0.5991,0.68162,0.36843,1.45659,1.46053,1.63035,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,17902.8,1.45153,1.56977,1.65591,0.77715,0.59284,0.68919,0.37401,1.45641,1.43699,1.62645,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,18354.7,1.43389,1.54703,1.64419,0.79203,0.58519,0.68926,0.3723,1.4616,1.38238,1.63156,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
